date,confirmed_per_day,confirmed_total,deaths_per_day,deaths_total,recovered_per_day,recovered_total,currently_infected
2021-04-27,5,5,0,0,0,0,5
2021-04-28,8,13,0,0,0,0,13
2021-04-29,45,58,0,0,0,0,58
2021-04-30,18,76,0,0,0,0,76
2021-05-01,14,90,0,0,32,32,58
2021-05-02,20,110,0,0,1,33,77
2021-05-03,19,129,0,0,11,44,85
2021-05-04,15,144,0,0,0,44,100
2021-05-05,26,170,0,0,0,44,126
2021-05-06,68,238,0,0,0,44,194
2021-05-07,47,285,0,0,0,44,241
2021-05-08,93,378,0,0,42,86,292
2021-05-09,102,480,0,0,0,86,394
2021-05-10,129,609,0,0,0,86,523
2021-05-11,76,685,0,0,16,102,583
2021-05-12,86,771,0,0,18,120,651
2021-05-13,87,858,0,0,21,141,717
2021-05-14,106,964,0,0,0,141,823
2021-05-15,169,1133,1,1,11,152,980
2021-05-16,190,1323,0,1,0,152,1170
2021-05-17,184,1507,1,2,0,152,1353
2021-05-18,153,1660,0,2,19,171,1487
2021-05-19,178,1838,0,2,0,171,1665
2021-05-20,119,1957,2,4,0,171,1782
2021-05-21,132,2089,2,6,2,173,1910
2021-05-22,145,2234,0,6,32,205,2023
2021-05-23,131,2365,1,7,0,205,2153
2021-05-24,187,2552,2,9,73,278,2265
2021-05-25,447,2999,0,9,0,278,2712
2021-05-26,235,3234,1,10,59,337,2887
2021-05-27,230,3464,1,11,0,337,3116
2021-05-28,254,3718,1,12,43,380,3326
2021-05-29,286,4004,0,12,0,380,3612
2021-05-30,251,4255,0,12,54,434,3809
2021-05-31,214,4469,0,12,80,514,3943
2021-06-01,251,4720,1,13,13,527,4180
2021-06-02,241,4961,1,14,42,569,4378
2021-06-03,250,5211,0,14,0,569,4628
2021-06-04,224,5435,2,16,157,726,4693
2021-06-05,254,5689,2,18,68,794,4877
2021-06-06,206,5895,0,18,58,852,5025
2021-06-07,236,6131,0,18,141,993,5120
2021-06-08,175,6306,2,20,40,1033,5253
2021-06-09,407,6713,0,20,87,1120,5573
2021-06-10,219,6932,0,20,72,1192,5720
2021-06-11,196,7128,2,22,96,1288,5818
2021-06-12,261,7389,1,23,23,1311,6055
2021-06-13,297,7686,1,24,171,1482,6180
2021-06-14,272,7958,2,26,238,1720,6212
2021-06-15,402,8360,0,26,303,2023,6311
2021-06-16,423,8783,0,26,47,2070,6687
2021-06-17,515,9298,0,26,63,2133,7139
2021-06-18,264,9562,1,27,80,2213,7322
2021-06-19,486,10048,2,29,321,2534,7485
2021-06-20,311,10359,2,31,175,2709,7619
2021-06-21,272,10631,3,34,224,2933,7664
2021-06-22,244,10875,0,34,93,3026,7815
2021-06-23,220,11095,1,35,138,3164,7896
2021-06-24,285,11380,2,37,75,3239,8104
2021-06-25,868,12248,2,39,190,3429,8780
2021-06-26,175,12423,0,39,188,3617,8767
2021-06-27,368,12791,2,41,182,3799,8951
2021-06-28,398,13189,0,41,200,3999,9149
2021-06-29,372,13561,4,45,245,4244,9272
2021-06-30,450,14011,1,46,76,4320,9645
2021-07-01,713,14724,0,46,407,4727,9951
2021-07-02,545,15269,3,49,148,4875,10345
2021-07-03,922,16191,0,49,248,5123,11019
2021-07-04,890,17081,2,51,176,5299,11731
2021-07-05,1102,18183,4,55,203,5502,12626
2021-07-06,1029,19212,7,62,55,5557,13593
2021-07-07,1007,20219,5,67,480,6037,14115
2021-07-08,1314,21533,3,70,393,6430,15033
2021-07-09,1625,23158,5,75,34,6464,16619
2021-07-10,1853,25011,2,77,220,6684,18250
2021-07-11,1953,26964,7,84,71,6755,20125
2021-07-12,2383,29347,6,90,56,6811,22446
2021-07-13,2301,31648,7,97,222,7033,24518
2021-07-14,2934,34582,6,103,71,7104,27375
2021-07-15,3416,37998,69,172,64,7168,30658
2021-07-16,3336,41334,18,190,332,7500,33644
2021-07-17,3717,45051,0,190,292,7792,37069
2021-07-18,5926,50977,29,219,355,8147,42611
2021-07-19,4195,55172,80,299,380,8527,46346
2021-07-20,4795,59967,0,299,396,8923,50745
2021-07-21,5357,65324,36,335,528,9451,55538
2021-07-22,6194,71518,0,335,1450,10901,60282
2021-07-23,7307,78825,0,335,2115,13016,65474
2021-07-24,9256,88081,0,335,2047,15063,72683
2021-07-25,7531,95612,0,335,1755,16818,78459
2021-07-26,7882,103494,154,489,2006,18824,84181
2021-07-27,7913,111407,0,489,1602,20426,90492
2021-07-28,6562,117969,106,595,4511,24937,92437
2021-07-29,7594,125563,233,828,4323,29260,95475
2021-07-30,8649,134212,298,1126,3704,32964,100122
2021-07-31,8624,142836,145,1271,3250,36214,105351
2021-08-01,8620,151456,0,1271,4423,40637,109548
2021-08-02,7455,158911,389,1660,3808,44445,112806
2021-08-03,8429,167340,376,2036,3866,48311,116993
2021-08-04,7623,174963,256,2292,3501,51812,120859
2021-08-05,7244,182207,393,2685,3708,55520,124002
2021-08-06,8324,190531,296,2981,4292,59812,127738
2021-08-07,7334,197865,0,2981,4305,64117,130767
2021-08-08,9690,207555,381,3362,4860,68977,135216
2021-08-09,9340,216895,360,3722,4423,73400,139773
2021-08-10,8390,225285,388,4110,4428,77828,143347
2021-08-11,8766,234051,342,4452,4806,82634,146965
2021-08-12,9667,243718,326,4778,3991,86625,152315
2021-08-13,9180,252898,275,5053,3593,90218,157627
2021-08-14,9716,262614,349,5402,4247,94465,162747
2021-08-15,9580,272194,336,5738,5519,99984,166472
2021-08-16,8652,280846,368,6106,4473,104457,170283
2021-08-17,9605,290451,331,6437,4331,108788,175226
2021-08-18,8656,299107,298,6735,3751,112539,179833
2021-08-19,10654,309761,380,7115,5000,117539,185107
2021-08-20,10657,320418,390,7505,12756,130295,182618
2021-08-21,13439,333857,0,7505,7272,137567,188785
2021-08-22,11352,345209,737,8242,7580,145147,191820
2021-08-23,10397,355606,389,8631,6945,152092,194883
2021-08-24,10811,366417,348,8979,7663,159755,197683
2021-08-25,12096,378513,335,9314,7646,167401,201798
2021-08-26,11575,390088,318,9632,18567,185968,194488
2021-08-27,17428,407516,386,10018,10126,196094,201404
2021-08-28,12103,419619,352,10370,12375,208469,200780
2021-08-29,12796,432415,344,10714,8813,217282,204419
2021-08-30,14224,446639,315,11029,9014,226296,209314
2021-08-31,12607,459246,0,11029,10044,236340,211877
2021-09-01,11434,470680,803,11832,9862,246202,212646
2021-09-02,13197,483877,271,12103,10602,256804,214970
2021-09-03,14922,498799,308,12411,11344,268148,218240
2021-09-04,9521,508320,347,12758,11848,279996,215566
2021-09-05,13137,521457,281,13039,9211,289207,219211
2021-09-06,12481,533938,311,13350,9730,298937,221651
2021-09-07,14208,548146,316,13666,10253,309190,225290
2021-09-08,12680,560826,424,14090,13937,323127,223609
2021-09-09,12420,573246,345,14435,12523,335650,223161
2021-09-10,13321,586567,275,14710,12751,348401,223456
2021-09-11,11932,598499,273,14983,12541,360942,222574
2021-09-12,12026,610525,261,15244,11116,372058,223223
2021-09-13,11172,621697,381,15625,11200,383258,222814
2021-09-14,10508,632205,276,15901,12683,395941,220363
2021-09-15,10585,642790,250,16151,14189,410130,216509
